t,theta_num,theta_small,error
0.000000000000000000e+00,5.000000000000000000e-01,5.000000000000000000e-01,0.000000000000000000e+00
2.005012531328320691e-02,4.998109401525197559e-01,4.998028282692091318e-01,8.111883310624179444e-06
4.010025062656641381e-02,4.992438914801011207e-01,4.992114685836021581e-01,3.242289649896257231e-05
6.015037593984962072e-02,4.982992465832713491e-01,4.982263873408300237e-01,7.285924244132546690e-05
8.020050125313282763e-02,4.969776597636223481e-01,4.968483614615871735e-01,1.292983020351745616e-04
1.002506265664160345e-01,4.952800469729257138e-01,4.950784777768643119e-01,2.015691960614018896e-04
1.203007518796992414e-01,4.932075857380727735e-01,4.929181321707791774e-01,2.894535672935960591e-04
1.403508771929824483e-01,4.907617150579776655e-01,4.903690284796606846e-01,3.926865783169808388e-04
1.604010025062656553e-01,4.879441352675734089e-01,4.874331771482559028e-01,5.109581193175061209e-04
1.804511278195488622e-01,4.847568078629941324e-01,4.841128936441182473e-01,6.439142188758850693e-04
2.005012531328320691e-01,4.812019552810034018e-01,4.804107966314285494e-01,7.911586495748523795e-04
2.205513784461152760e-01,4.772820606246964692e-01,4.763298059056891298e-01,9.522547190073393786e-04
2.406015037593984829e-01,4.729998673264294018e-01,4.718731400909187967e-01,1.126727235510605052e-03
2.606516290726816898e-01,4.683583787388108655e-01,4.670443141011667021e-01,1.314064637644163369e-03
2.807017543859648967e-01,4.633608576456956785e-01,4.618471363683451236e-01,1.513721277350554839e-03
3.007518796992481036e-01,4.580108256772277842e-01,4.562857058385692555e-01,1.725119838658528693e-03
3.208020050125313105e-01,4.523120626196179273e-01,4.503644087393720574e-01,1.947653880245869829e-03
3.408521303258145174e-01,4.462686056051239358e-01,4.440879151203438457e-01,2.180690484780090088e-03
3.609022556390977243e-01,4.398847481729065145e-01,4.374611751699252760e-01,2.423573002981238567e-03
3.809523809523809312e-01,4.331650391957057589e-01,4.304894153112584498e-01,2.675623884447309031e-03
4.010025062656641381e-01,4.261142816366998431e-01,4.231781340801752389e-01,2.936147556524604241e-03
4.210526315789473450e-01,4.187375311333965122e-01,4.155330977885742794e-01,3.204433344822232854e-03
4.411027568922305520e-01,4.110400943970455301e-01,4.075603359766058476e-01,3.479758420439682531e-03
4.611528822055137589e-01,4.030275274379280792e-01,3.992661366572525239e-01,3.761390780675555323e-03
4.812030075187969658e-01,3.947056335488835499e-01,3.906570413570555900e-01,4.048592191827959930e-03
5.012531328320801727e-01,3.860804610556060057e-01,3.817398399568985856e-01,4.340621098707420078e-03
5.213032581453633796e-01,3.771583008489911015e-01,3.725215653369170488e-01,4.636735512074052767e-03
5.413533834586465865e-01,3.679456836805176656e-01,3.630094878297578376e-01,4.936195850759828030e-03
5.614035087719297934e-01,3.584493771488060920e-01,3.532111094865629797e-01,5.238267662243112355e-03
5.814536340852130003e-01,3.486763824072667273e-01,3.431341581601999868e-01,5.542224247066740439e-03
6.015037593984962072e-01,3.386339306492682777e-01,3.327865814104054021e-01,5.847349238862875609e-03
6.215538847117794141e-01,3.283294792432308040e-01,3.221765402356480679e-01,6.152939007582736153e-03
6.416040100250626210e-01,3.177707075381610569e-01,3.113124026366567709e-01,6.458304901504285933e-03
6.616541353383458279e-01,3.069655123962691246e-01,3.002027370166873710e-01,6.762775379581753565e-03
6.817042606516290348e-01,2.959220034230547469e-01,2.888563054237349714e-01,7.065697999319775491e-03
7.017543859649122417e-01,2.846484978102182262e-01,2.772820566400215347e-01,7.366441170196691424e-03
7.218045112781954487e-01,2.731535148486105569e-01,2.654891191242081949e-01,7.664395724402361942e-03
7.418546365914786556e-01,2.614457701731431882e-01,2.534867938118994246e-01,7.958976361243763620e-03
7.619047619047618625e-01,2.495341696227517114e-01,2.412845467801165988e-01,8.249622842635112585e-03
7.819548872180450694e-01,2.374278027517022494e-01,2.288920017815267438e-01,8.535800970175505542e-03
8.020050125313282763e-01,2.251359360111051255e-01,2.163189326543151492e-01,8.817003356789976376e-03
8.220551378446114832e-01,2.126680056453255085e-01,2.035752556136864178e-01,9.092750031639090791e-03
8.421052631578946901e-01,2.000336102168390195e-01,1.906710214310753937e-01,9.362588785763625854e-03
8.621553884711778970e-01,1.872425028166343763e-01,1.776164075072355353e-01,9.626095309398841060e-03
8.822055137844611039e-01,1.743045829616846898e-01,1.644217098454554271e-01,9.882873116229262678e-03
9.022556390977443108e-01,1.612298882052611848e-01,1.510973349312359493e-01,1.013255327402523553e-02
9.223057644110275177e-01,1.480285854623578090e-01,1.376537915248313981e-01,1.037479393752641088e-02
9.423558897243107246e-01,1.347109620370423311e-01,1.241016823731273672e-01,1.060927966391496391e-02
9.624060150375939315e-01,1.212874164006941674e-01,1.104516958473929361e-01,1.083572055330123129e-02
9.824561403508771384e-01,1.077684487224161020e-01,9.671459751350253153e-02,1.105385120891357043e-02
1.002506265664160345e+00,9.416465117442182620e-02,8.290122164127421145e-02,1.126342953314761475e-02
1.022556390977443552e+00,8.048669802997786282e-02,6.902246265962301564e-02,1.146423537035484719e-02
1.042606516290726759e+00,6.674533557333869882e-02,5.508926656426775537e-02,1.165606900907094345e-02
1.062656641604009966e+00,5.295137184296098282e-02,4.111262228476657288e-02,1.183874955819440994e-02
1.082706766917293173e+00,3.911566623084261618e-02,2.710355301769244024e-02,1.201211321315017594e-02
1.102756892230576380e+00,2.524911896192989780e-02,1.307310753278186945e-02,1.217601142914802835e-02
1.122807017543859587e+00,1.136266047797961608e-02,-9.676485410848057475e-04,1.233030901906442128e-02
1.142857142857142794e+00,-2.532759250109093037e-03,-1.500764144320090865e-02,1.247488219309181648e-02
1.162907268170426001e+00,-1.642618145806061525e-02,-2.903579801476334141e-02,1.260961655670272616e-02
1.182957393483709208e+00,-3.030664934304377889e-02,-4.304105443212780102e-02,1.273440508908402213e-02
1.203007518796992414e+00,-4.416321881199559291e-02,-5.701236493270247369e-02,1.284914612070688078e-02
1.223057644110275621e+00,-5.798496920217912493e-02,-7.093871052659621312e-02,1.295374132441708820e-02
